ID or #		Start	End	Type	Contig
==================================================
NC_003197.2:1..4857450		1	4857450	partial	contig_2:2353709-1984990,contig_2:1966598-1820371,contig_2:1819661-1460769,contig_2:1460059-1371626,contig_2:1371625-1273993,contig_2:1273044-1272171,contig_2:1272119-1271624,contig_2:1270722-1268007,contig_2:1261252-1258206,contig_2:1256258-302572,contig_2:1460060-1460768,contig_2:1819662-1820370,contig_1:1469859-1469151,contig_2:262502-8420,contig_2:298709-298270,contig_2:276681-275463,contig_2:8419-1,contig_1:1676978-1539511,contig_1:1538801-1469860,contig_1:1469150-1447431,contig_1:1447430-1262219,contig_2:1261734-1263677,contig_1:1261893-1261509,contig_1:1260006-1257236,contig_1:1256267-1182103,contig_2:300278-299495,contig_1:1182102-1159869,contig_1:1131664-947638,contig_1:946869-854180,contig_1:854179-669971,contig_1:638092-1,contig_2:2572225-2572933,contig_1:1539510-1538802,contig_2:3318776-3299012,contig_2:3299011-2868502,contig_2:2827871-2732613,contig_2:2732612-2725969,contig_2:2645282-2572934,contig_2:2572224-2353710
gene-STM0001		190	255	complete	contig_2:2353520-2353455
cds-NP_459006.1		190	255	complete	contig_2:2353520-2353455
gene-STM0002		325	2799	complete	contig_2:2353385-2350911
cds-NP_459007.1		337	2799	complete	contig_2:2353373-2350911
id-STM0002		325	330	complete	contig_2:2353385-2353380
gene-STM0003		2789	3730	complete	contig_2:2350921-2349980
cds-NP_459008.1		2801	3730	complete	contig_2:2350909-2349980
id-STM0003		2789	2794	complete	contig_2:2350921-2350916
id-STM0003-2		3722	3727	complete	contig_2:2349988-2349983
gene-STM0004		3722	5020	complete	contig_2:2349988-2348690
cds-NP_459009.1		3734	5020	complete	contig_2:2349976-2348690
gene-STM0005		5114	5898	complete	contig_2:2348596-2347812
cds-NP_459010.1		5114	5887	complete	contig_2:2348596-2347823
id-STM0005		5893	5898	complete	contig_2:2347817-2347812
gene-STM0006		5966	7407	complete	contig_2:2347744-2346303
cds-NP_459011.1		5966	7396	complete	contig_2:2347744-2346314
id-STM0006		7402	7407	complete	contig_2:2346308-2346303
gene-STM0007		7652	8618	complete	contig_2:2346058-2345092
cds-NP_459012.1		7665	8618	complete	contig_2:2346045-2345092
id-STM0007		7652	7657	complete	contig_2:2346058-2346053
gene-STM0008		8718	9319	complete	contig_2:2344992-2344391
cds-NP_459013.1		8729	9319	complete	contig_2:2344981-2344391
id-STM0008		8718	8723	complete	contig_2:2344992-2344987
gene-STM0009		9376	9950	complete	contig_2:2344334-2343760
cds-NP_459014.1		9376	9942	complete	contig_2:2344334-2343768
id-STM0009		9945	9950	complete	contig_2:2343765-2343760
gene-STM0010		10092	10811	complete	contig_2:2343618-2342899
cds-NP_459015.1		10092	10805	complete	contig_2:2343618-2342905
id-STM0010		10806	10811	complete	contig_2:2342904-2342899
gene-STM0011		10841	11255	complete	contig_2:2342869-2342455
cds-NP_459016.1		10841	11245	complete	contig_2:2342869-2342465
id-STM0011		11250	11255	complete	contig_2:2342460-2342455
gene-STM0012		11579	13509	complete	contig_2:2342131-2340201
cds-NP_459017.1		11593	13509	complete	contig_2:2342117-2340201
id-STM0012		11579	11584	complete	contig_2:2342131-2342126
gene-STM0013		13577	14734	complete	contig_2:2340133-2338976
cds-NP_459018.1		13595	14734	complete	contig_2:2340115-2338976
id-STM0013		13577	13582	complete	contig_2:2340133-2340128
gene-STM0014		15007	15961	complete	contig_2:2338703-2337749
cds-NP_459019.1		15014	15961	complete	contig_2:2338696-2337749
id-STM0014		15007	15012	complete	contig_2:2338703-2338698
gene-STM0015		16083	16432	complete	contig_2:2337627-2337278
cds-NP_459020.1		16088	16432	complete	contig_2:2337622-2337278
id-STM0015		16083	16088	complete	contig_2:2337627-2337622
gene-STM0016		16493	17033	complete	contig_2:2337217-2336677
cds-NP_459021.1		16493	17026	complete	contig_2:2337217-2336684
id-STM0016		17028	17033	complete	contig_2:2336682-2336677
gene-STM0017		17043	17493	complete	contig_2:2336667-2336217
cds-NP_459022.1		17043	17486	complete	contig_2:2336667-2336224
id-STM0017		17488	17493	complete	contig_2:2336222-2336217
gene-STM0018		17860	19966	complete	contig_2:2335850-2333744
cds-NP_459023.1		17867	19966	complete	contig_2:2335843-2333744
id-STM0018		17860	17865	complete	contig_2:2335850-2335845
gene-STM0019		20051	23054	complete	contig_2:2333659-2330656
cds-NP_459024.1		20058	23054	complete	contig_2:2333652-2330656
id-STM0019		20051	20056	complete	contig_2:2333659-2333654
gene-STM0020		23335	24039	complete	contig_2:2330375-2329671
cds-NP_459025.1		23335	24039	complete	contig_2:2330375-2329671
gene-STM0021		24462	25011	complete	contig_2:2329248-2328699
cds-NP_459026.1		24469	25011	complete	contig_2:2329241-2328699
id-STM0021		24462	24467	complete	contig_2:2329248-2329243
gene-STM0022		25105	25798	complete	contig_2:2328605-2327912
cds-NP_459027.1		25112	25798	complete	contig_2:2328598-2327912
id-STM0022		25105	25110	complete	contig_2:2328605-2328600
gene-STM0023		25803	28424	complete	contig_2:2327907-2325286
cds-NP_459028.1		25803	28424	complete	contig_2:2327907-2325286
gene-STM0024		28410	29432	complete	contig_2:2325300-2324278
cds-NP_459029.1		28425	29432	complete	contig_2:2325285-2324278
id-STM0024		28410	28415	complete	contig_2:2325300-2325295
gene-STM0025		29418	29978	complete	contig_2:2324292-2323732
cds-NP_459030.1		29433	29978	complete	contig_2:2324277-2323732
id-STM0025		29418	29423	complete	contig_2:2324292-2324287
gene-STM0026		29977	30512	complete	contig_2:2323733-2323198
cds-NP_459031.1		29994	30512	complete	contig_2:2323716-2323198
id-STM0026		29977	29982	complete	contig_2:2323733-2323728
id-STM0026-2		30466	30471	complete	contig_2:2323244-2323239
gene-STM0027		30466	31209	complete	contig_2:2323244-2322501
cds-NP_459032.1		30478	31209	complete	contig_2:2323232-2322501
gene-STM0028		31270	32119	complete	contig_2:2322440-2321591
cds-NP_459033.1		31274	32119	complete	contig_2:2322436-2321591
id-STM0028		31270	31275	complete	contig_2:2322440-2322435
gene-STM0029		32545	33000	complete	contig_2:2321165-2320710
cds-NP_459034.1		32545	32994	complete	contig_2:2321165-2320716
id-STM0029		32995	33000	complete	contig_2:2320715-2320710
gene-STM0030		33357	34368	complete	contig_2:2320353-2319342
cds-NP_459035.1		33364	34368	complete	contig_2:2320346-2319342
id-STM0030		33357	33362	complete	contig_2:2320353-2320348
gene-STM0031		34376	34816	complete	contig_2:2319334-2318894
cds-NP_459036.1		34376	34816	complete	contig_2:2319334-2318894
gene-STM0032		35331	37057	complete	contig_2:2318379-2316653
cds-NP_459037.1		35339	37057	complete	contig_2:2318371-2316653
id-STM0032		35331	35336	complete	contig_2:2318379-2318374
gene-STM0033		37103	38674	complete	contig_2:2316607-2315036
cds-NP_459038.1		37103	38674	complete	contig_2:2316607-2315036
gene-STM0034		38773	39540	complete	contig_2:2314937-2314170
cds-NP_459039.1		38773	39534	complete	contig_2:2314937-2314176
id-STM0034		39535	39540	complete	contig_2:2314175-2314170
gene-STM0035		40120	41624	complete	contig_2:2313590-2312086
cds-NP_459040.1		40131	41624	complete	contig_2:2313579-2312086
id-STM0035		40120	40125	complete	contig_2:2313590-2313585
gene-STM0036		41717	42913	complete	contig_2:2311993-2310797
cds-NP_459041.1		41723	42913	complete	contig_2:2311987-2310797
id-STM0036		41717	41722	complete	contig_2:2311993-2311988
gene-STM0037		42926	44185	complete	contig_2:2310784-2309525
cds-NP_459042.1		42932	44185	complete	contig_2:2310778-2309525
id-STM0037		42926	42931	complete	contig_2:2310784-2310779
gene-STM0038		44305	46027	complete	contig_2:2309405-2307683
cds-NP_459043.1		44312	46027	complete	contig_2:2309398-2307683
id-STM0038		44305	44310	complete	contig_2:2309405-2309400
gene-STM0039		46083	47356	complete	contig_2:2307627-2306354
cds-NP_459044.1		46190	47356	complete	contig_2:2307520-2306354
id-STM0039		46083	46091	complete	contig_2:2307627-2307619
id-STM0039-2		46110	46118	complete	contig_2:2307600-2307592
id-STM0039-3		46179	46184	complete	contig_2:2307531-2307526
gene-STM0040		47407	48317	complete	contig_2:2306303-2305393
cds-NP_459045.1		47418	48317	complete	contig_2:2306292-2305393
id-STM0040		47407	47412	complete	contig_2:2306303-2306298
gene-STM0041		48372	50417	complete	contig_2:2305338-2303293
cds-NP_459046.1		48372	50411	complete	contig_2:2305338-2303299
id-STM0041		50412	50417	complete	contig_2:2303298-2303293
gene-STM0042		50451	51829	complete	contig_2:2303259-2301881
cds-NP_459047.1		50451	51824	complete	contig_2:2303259-2301886
id-STM0042		51824	51829	complete	contig_2:2301886-2301881
gene-STM0043		52280	52550	complete	contig_2:2301430-2301160
cds-NP_459048.1		52280	52543	complete	contig_2:2301430-2301167
id-STM0043		52545	52550	complete	contig_2:2301165-2301160
gene-STM0044		52649	52864	complete	contig_2:2301061-2300846
cds-NP_459049.1		52649	52864	complete	contig_2:2301061-2300846
gene-STM0045		52872	53810	complete	contig_2:2300838-2299900
cds-NP_459050.1		52872	53810	complete	contig_2:2300838-2299900
gene-STM0046		53838	56689	complete	contig_2:2299872-2297021
cds-NP_459051.1		53855	56689	complete	contig_2:2299855-2297021
id-STM0046		53838	53843	complete	contig_2:2299872-2299867
gene-STM0047		56689	57189	complete	contig_2:2297021-2296521
cds-NP_459052.1		56689	57189	complete	contig_2:2297021-2296521
gene-STM0048		57328	57793	complete	contig_2:2296382-2295917
cds-NP_459053.1		57344	57793	complete	contig_2:2296366-2295917
id-STM0048		57328	57333	complete	contig_2:2296382-2296377
id-STM0048-2		57782	57787	complete	contig_2:2295928-2295923
gene-STM0049		57782	58746	complete	contig_2:2295928-2294964
cds-NP_459054.1		57796	58746	complete	contig_2:2295914-2294964
gene-STM0050		58940	60148	complete	contig_2:2294770-2293562
cds-NP_459055.1		58946	60148	complete	contig_2:2294764-2293562
id-STM0050		58940	58945	complete	contig_2:2294770-2294765
gene-STM0051		60151	61084	complete	contig_2:2293559-2292626
cds-NP_459056.1		60164	61084	complete	contig_2:2293546-2292626
id-STM0051		60151	60156	complete	contig_2:2293559-2293554
gene-STM0052		61106	61797	complete	contig_2:2292604-2291913
cds-NP_459057.1		61106	61792	complete	contig_2:2292604-2291918
id-STM0052		61792	61797	complete	contig_2:2291918-2291913
gene-STM0053		61794	63413	complete	contig_2:2291916-2290297
cds-NP_459058.1		61794	63413	complete	contig_2:2291916-2290297
gene-STM0054		63548	64855	complete	contig_2:2290162-2288855
cds-NP_459059.1		63548	64849	complete	contig_2:2290162-2288861
id-STM0054		64850	64855	complete	contig_2:2288860-2288855
gene-STM0055		64862	66644	complete	contig_2:2288848-2287066
cds-NP_459060.1		64862	66637	complete	contig_2:2288848-2287073
id-STM0055		66639	66644	complete	contig_2:2287071-2287066
gene-STM0056		66654	66899	complete	contig_2:2287056-2286811
cds-NP_459061.1		66654	66893	complete	contig_2:2287056-2286817
id-STM0056		66894	66899	complete	contig_2:2286816-2286811
