ID or #		Start	End	Type	Contig
==================================================
NC_003197.2:1..4857450		1	4857450	partial	contig_1:2353618-1984990,contig_1:1966598-1820371,contig_1:1819661-1460769,contig_1:1460059-1371626,contig_1:1371625-1273993,contig_1:1273044-1272171,contig_1:1272119-1271624,contig_1:1270722-1268007,contig_1:1261252-1258206,contig_1:1256258-302572,contig_1:1460060-1460768,contig_1:1819662-1820370,contig_2:1469859-1469151,contig_1:262502-8420,contig_1:298709-298270,contig_1:276681-275463,contig_1:8419-1,contig_2:1676978-1539511,contig_2:1538801-1469860,contig_2:1469150-1447431,contig_2:1447430-1262219,contig_1:1261734-1263677,contig_2:1261893-1261509,contig_2:1260006-1257236,contig_2:1256267-1182103,contig_1:300278-299495,contig_2:1182102-1159869,contig_2:1131664-947638,contig_2:946869-854180,contig_2:854179-669971,contig_2:638092-1,contig_1:2572134-2572842,contig_2:1539510-1538802,contig_1:3318685-3298921,contig_1:3298920-2868411,contig_1:2827780-2732522,contig_1:2732521-2725878,contig_1:2645191-2572843,contig_1:2572133-2353619
gene-STM0001		190	255	complete	contig_1:2353429-2353364
cds-NP_459006.1		190	255	complete	contig_1:2353429-2353364
gene-STM0002		325	2799	complete	contig_1:2353294-2350820
cds-NP_459007.1		337	2799	complete	contig_1:2353282-2350820
id-STM0002		325	330	complete	contig_1:2353294-2353289
gene-STM0003		2789	3730	complete	contig_1:2350830-2349889
cds-NP_459008.1		2801	3730	complete	contig_1:2350818-2349889
id-STM0003		2789	2794	complete	contig_1:2350830-2350825
id-STM0003-2		3722	3727	complete	contig_1:2349897-2349892
gene-STM0004		3722	5020	complete	contig_1:2349897-2348599
cds-NP_459009.1		3734	5020	complete	contig_1:2349885-2348599
gene-STM0005		5114	5898	complete	contig_1:2348505-2347721
cds-NP_459010.1		5114	5887	complete	contig_1:2348505-2347732
id-STM0005		5893	5898	complete	contig_1:2347726-2347721
gene-STM0006		5966	7407	complete	contig_1:2347653-2346212
cds-NP_459011.1		5966	7396	complete	contig_1:2347653-2346223
id-STM0006		7402	7407	complete	contig_1:2346217-2346212
gene-STM0007		7652	8618	complete	contig_1:2345967-2345001
cds-NP_459012.1		7665	8618	complete	contig_1:2345954-2345001
id-STM0007		7652	7657	complete	contig_1:2345967-2345962
gene-STM0008		8718	9319	complete	contig_1:2344901-2344300
cds-NP_459013.1		8729	9319	complete	contig_1:2344890-2344300
id-STM0008		8718	8723	complete	contig_1:2344901-2344896
gene-STM0009		9376	9950	complete	contig_1:2344243-2343669
cds-NP_459014.1		9376	9942	complete	contig_1:2344243-2343677
id-STM0009		9945	9950	complete	contig_1:2343674-2343669
gene-STM0010		10092	10811	complete	contig_1:2343527-2342808
cds-NP_459015.1		10092	10805	complete	contig_1:2343527-2342814
id-STM0010		10806	10811	complete	contig_1:2342813-2342808
gene-STM0011		10841	11255	complete	contig_1:2342778-2342364
cds-NP_459016.1		10841	11245	complete	contig_1:2342778-2342374
id-STM0011		11250	11255	complete	contig_1:2342369-2342364
gene-STM0012		11579	13509	complete	contig_1:2342040-2340110
cds-NP_459017.1		11593	13509	complete	contig_1:2342026-2340110
id-STM0012		11579	11584	complete	contig_1:2342040-2342035
gene-STM0013		13577	14734	complete	contig_1:2340042-2338885
cds-NP_459018.1		13595	14734	complete	contig_1:2340024-2338885
id-STM0013		13577	13582	complete	contig_1:2340042-2340037
gene-STM0014		15007	15961	complete	contig_1:2338612-2337658
cds-NP_459019.1		15014	15961	complete	contig_1:2338605-2337658
id-STM0014		15007	15012	complete	contig_1:2338612-2338607
gene-STM0015		16083	16432	complete	contig_1:2337536-2337187
cds-NP_459020.1		16088	16432	complete	contig_1:2337531-2337187
id-STM0015		16083	16088	complete	contig_1:2337536-2337531
gene-STM0016		16493	17033	complete	contig_1:2337126-2336586
cds-NP_459021.1		16493	17026	complete	contig_1:2337126-2336593
id-STM0016		17028	17033	complete	contig_1:2336591-2336586
gene-STM0017		17043	17493	complete	contig_1:2336576-2336126
cds-NP_459022.1		17043	17486	complete	contig_1:2336576-2336133
id-STM0017		17488	17493	complete	contig_1:2336131-2336126
gene-STM0018		17860	19966	complete	contig_1:2335759-2333653
